ID;Type;Accident;Reporting;Payment;Amount
2625;Annuity;43000.39151;43043.46234;43442;7549.41
2625;Annuity;43000.39151;43043.46234;43507;7609.68
2625;Annuity;43000.39151;43043.46234;43515;66417.2
2625;Annuity;43000.39151;43043.46234;43541;11374.1
2625;Annuity;43000.39151;43043.46234;43550;3141.78
2625;Annuity;43000.39151;43043.46234;43687;2743.57
2625;Annuity;43000.39151;43043.46234;43697;3370.75
2625;Annuity;43000.39151;43043.46234;43771;4856.2
2625;Annuity;43000.39151;43043.46234;43818;3824.5
2625;Annuity;43000.39151;43043.46234;43818;33431
2625;Annuity;43000.39151;43043.46234;43818;2631.98
2625;Annuity;43000.39151;43043.46234;43818;8382.09
2625;Annuity;43000.39151;43043.46234;43818;21169.7
2625;Annuity;43000.39151;43043.46234;43818;5745.57
2625;Annuity;43000.39151;43043.46234;43818;1689.56
2625;Annuity;43000.39151;43043.46234;43818;10210.4
2625;Annuity;43000.39151;43043.46234;43818;4169.11
2625;Annuity;43000.39151;43043.46234;43818;5293.62
2625;Annuity;43000.39151;43043.46234;43818;4455.77
2625;Annuity;43000.39151;43043.46234;43818;6294.85
2626;Annuity;37058.07135;37146.56276;38008;20144.8
2626;Annuity;37058.07135;37146.56276;38107;9636.87
2626;Annuity;37058.07135;37146.56276;38319;2567.89
2626;Annuity;37058.07135;37146.56276;38415;49515.4
2626;Annuity;37058.07135;37146.56276;38441;2446.53
2626;Annuity;37058.07135;37146.56276;38717;9327.46
2626;Annuity;37058.07135;37146.56276;38884;85410.1
2626;Annuity;37058.07135;37146.56276;39765;5825.26
2626;Annuity;37058.07135;37146.56276;39856;1708.83
2626;Annuity;37058.07135;37146.56276;40776;11472.3
2626;Annuity;37058.07135;37146.56276;41059;6318.73
2626;Annuity;37058.07135;37146.56276;43186;2432.64
2627;Annuity;41696.88978;42000.54046;42167;25872.4
2627;Annuity;41696.88978;42000.54046;42247;7198.86
2627;Annuity;41696.88978;42000.54046;42495;58570.9
2627;Annuity;41696.88978;42000.54046;42632;4624.89
2627;Annuity;41696.88978;42000.54046;42881;2551.07
2627;Annuity;41696.88978;42000.54046;42916;8354.72
2627;Annuity;41696.88978;42000.54046;43175;1357.5
2627;Annuity;41696.88978;42000.54046;43427;2224.86
2627;Annuity;41696.88978;42000.54046;43498;1614.4
2627;Annuity;41696.88978;42000.54046;43605;17839.1
2627;Annuity;41696.88978;42000.54046;43818;3631.79
2628;Annuity;39140.23238;39301.97740;39498;7109.03
2628;Annuity;39140.23238;39301.97740;39540;8232.02
2628;Annuity;39140.23238;39301.97740;39601;66141.6
2628;Annuity;39140.23238;39301.97740;39624;4860.34
2628;Annuity;39140.23238;39301.97740;39645;15187.5
